Model Type,Textual Feature,Confidence Threshold,Include Rating,Include SentiScore,Shuffle Data,Use Grid Search,Pre_Pipeline_F1,Post_Pipeline_F1,Time Taken
random_forest,comment,0.5,True,True,True,False,0.6504854368932039,0.6601941747572816,6.8034210205078125
random_forest,comment,0.5,True,True,False,False,0.6407766990291263,0.6456310679611651,6.522838115692139
random_forest,comment,0.5,True,False,True,False,0.6504854368932039,0.6601941747572816,6.228171110153198
random_forest,comment,0.5,True,False,False,False,0.6456310679611651,0.6553398058252428,6.135191917419434
random_forest,comment,0.5,False,True,True,False,0.5631067961165048,0.5533980582524272,8.160177230834961
random_forest,comment,0.5,False,True,False,False,0.5922330097087378,0.6048543689320388,8.607542037963867
random_forest,comment,0.5,False,False,True,False,0.6116504854368932,0.6553398058252428,8.287034034729004
random_forest,comment,0.5,False,False,False,False,0.6116504854368932,0.6416504854368932,8.066425085067749
random_forest,comment,0.6,True,True,True,False,0.616504854368932,0.627378640776699,7.416899919509888
random_forest,comment,0.6,True,True,False,False,0.6407766990291263,0.6556310679611651,7.202834844589233
random_forest,comment,0.6,True,False,True,False,0.5970873786407767,0.6262135922330098,7.07504415512085
random_forest,comment,0.6,True,False,False,False,0.6456310679611651,0.6601941747572816,6.963748216629028
random_forest,comment,0.6,False,True,True,False,0.529126213592233,0.51116504854368934,9.960742235183716
random_forest,comment,0.6,False,True,False,False,0.5922330097087378,0.48058252427184467,9.506938934326172
random_forest,comment,0.6,False,False,True,False,0.5679611650485437,0.5922330097087378,8.109369993209839
random_forest,comment,0.6,False,False,False,False,0.6116504854368932,0.5922330097087378,8.758056879043579
random_forest,comment,0.7,True,True,True,False,0.5922330097087378,0.6019417475728155,7.598621845245361
random_forest,comment,0.7,True,True,False,False,0.6407766990291263,0.6456310679611651,7.517606019973755
random_forest,comment,0.7,True,False,True,False,0.6019417475728155,0.6262135922330098,7.44977879524231
random_forest,comment,0.7,True,False,False,False,0.6456310679611651,0.6553398058252428,7.452739953994751
random_forest,comment,0.7,False,True,True,False,0.5242718446601942,0.5533980582524272,8.715994834899902
random_forest,comment,0.7,False,True,False,False,0.5922330097087378,0.4174757281553398,10.122830152511597
random_forest,comment,0.7,False,False,True,False,0.5533980582524272,0.5728155339805825,8.632992029190063
random_forest,comment,0.7,False,False,False,False,0.6116504854368932,0.587378640776699,8.966754913330078
random_forest,comment,0.8,True,True,True,False,0.6407766990291263,0.6504854368932039,7.321419954299927
random_forest,comment,0.8,True,True,False,False,0.6407766990291263,0.6456310679611651,7.546226978302002
random_forest,comment,0.8,True,False,True,False,0.5776699029126213,0.6116504854368932,7.507347822189331
random_forest,comment,0.8,True,False,False,False,0.6456310679611651,0.6553398058252428,7.420850038528442
random_forest,comment,0.8,False,True,True,False,0.587378640776699,0.46601941747572817,10.224302768707275
random_forest,comment,0.8,False,True,False,False,0.5922330097087378,0.4029126213592233,10.544622659683228
random_forest,comment,0.8,False,False,True,False,0.5970873786407767,0.6553398058252428,8.520292282104492
random_forest,comment,0.8,False,False,False,False,0.6116504854368932,0.587378640776699,9.305779933929443
random_forest,lemmatized_comment,0.5,True,True,True,False,0.6699029126213593,0.6796116504854369,6.697852849960327
random_forest,lemmatized_comment,0.5,True,True,False,False,0.6456310679611651,0.6504854368932039,6.4730260372161865
random_forest,lemmatized_comment,0.5,True,False,True,False,0.6067961165048543,0.6213592233009708,6.731446743011475
random_forest,lemmatized_comment,0.5,True,False,False,False,0.6310679611650486,0.6407766990291263,6.2076096534729
random_forest,lemmatized_comment,0.5,False,True,True,False,0.5776699029126213,0.5922330097087378,7.968429803848267
random_forest,lemmatized_comment,0.5,False,True,False,False,0.616504854368932,0.5097087378640777,8.699833154678345
random_forest,lemmatized_comment,0.5,False,False,True,False,0.558252427184466,0.5776699029126213,7.752975225448608
random_forest,lemmatized_comment,0.5,False,False,False,False,0.5776699029126213,0.5776699029126213,7.959039926528931
random_forest,lemmatized_comment,0.6,True,True,True,False,0.6601941747572816,0.6504854368932039,7.2124950885772705
random_forest,lemmatized_comment,0.6,True,True,False,False,0.6456310679611651,0.6504854368932039,6.943770170211792
random_forest,lemmatized_comment,0.6,True,False,True,False,0.6262135922330098,0.6504854368932039,7.021486759185791
random_forest,lemmatized_comment,0.6,True,False,False,False,0.6310679611650486,0.6456310679611651,7.0569140911102295
