Model Type,Textual Feature,Confidence Threshold,Include Rating,Include SentiScore,Shuffle Data,Use Grid Search,Pre_Pipeline_F1,Post_Pipeline_F1,Time Taken
mlp,comment,0.5,True,True,True,False,0.558252427184466,0.558252427184466,47.74841094017029
mlp,comment,0.5,True,True,False,False,0.5339805825242718,0.5388349514563107,51.26363968849182
mlp,comment,0.5,True,False,True,False,0.470873786407767,0.470873786407767,48.060357093811035
mlp,comment,0.5,True,False,False,False,0.5631067961165048,0.558252427184466,48.17376208305359
mlp,comment,0.5,False,True,True,False,0.5194174757281553,0.5194174757281553,52.05355405807495
mlp,comment,0.5,False,True,False,False,0.5436893203883495,0.5485436893203883,49.594090938568115
mlp,comment,0.5,False,False,True,False,0.5825242718446602,0.5825242718446602,46.355332136154175
mlp,comment,0.5,False,False,False,False,0.5679611650485437,0.5728155339805825,51.47125220298767
mlp,comment,0.6,True,True,True,False,0.5631067961165048,0.5679611650485437,46.60071396827698
mlp,comment,0.6,True,True,False,False,0.5339805825242718,0.5388349514563107,51.027151107788086
mlp,comment,0.6,True,False,True,False,0.5436893203883495,0.5631067961165048,48.62677717208862
mlp,comment,0.6,True,False,False,False,0.5631067961165048,0.5631067961165048,47.66466522216797
mlp,comment,0.6,False,True,True,False,0.5825242718446602,0.587378640776699,49.56919193267822
mlp,comment,0.6,False,True,False,False,0.5436893203883495,0.5679611650485437,49.06577706336975
mlp,comment,0.6,False,False,True,False,0.4854368932038835,0.48058252427184467,52.66203188896179
mlp,comment,0.6,False,False,False,False,0.5679611650485437,0.5825242718446602,54.2599778175354
mlp,comment,0.7,True,True,True,False,0.5436893203883495,0.558252427184466,48.93588304519653
mlp,comment,0.7,True,True,False,False,0.5339805825242718,0.5436893203883495,50.763365030288696
mlp,comment,0.7,True,False,True,False,0.5048543689320388,0.5097087378640777,50.92747497558594
mlp,comment,0.7,True,False,False,False,0.5631067961165048,0.5631067961165048,48.695159912109375
mlp,comment,0.7,False,True,True,False,0.5631067961165048,0.5728155339805825,48.809211015701294
mlp,comment,0.7,False,True,False,False,0.5436893203883495,0.5679611650485437,48.21575307846069
mlp,comment,0.7,False,False,True,False,0.5631067961165048,0.5728155339805825,50.48566031455994
mlp,comment,0.7,False,False,False,False,0.5679611650485437,0.5825242718446602,51.37658500671387
mlp,comment,0.8,True,True,True,False,0.5631067961165048,0.5679611650485437,48.07729983329773
mlp,comment,0.8,True,True,False,False,0.5339805825242718,0.5485436893203883,50.35489368438721
mlp,comment,0.8,True,False,True,False,0.5145631067961165,0.529126213592233,48.857648849487305
mlp,comment,0.8,True,False,False,False,0.5631067961165048,0.5825242718446602,54.385246992111206
mlp,comment,0.8,False,True,True,False,0.5048543689320388,0.5048543689320388,51.233664989471436
mlp,comment,0.8,False,True,False,False,0.5436893203883495,0.558252427184466,51.45533299446106
mlp,comment,0.8,False,False,True,False,0.5242718446601942,0.5339805825242718,45.789912939071655
mlp,comment,0.8,False,False,False,False,0.5679611650485437,0.5825242718446602,50.31356883049011
mlp,lemmatized_comment,0.5,True,True,True,False,0.6019417475728155,0.6019417475728155,48.924591064453125
mlp,lemmatized_comment,0.5,True,True,False,False,0.5728155339805825,0.5728155339805825,49.48973894119263
mlp,lemmatized_comment,0.5,True,False,True,False,0.5825242718446602,0.5776699029126213,41.17126202583313
mlp,lemmatized_comment,0.5,True,False,False,False,0.5776699029126213,0.5776699029126213,43.56004309654236
mlp,lemmatized_comment,0.5,False,True,True,False,0.5097087378640777,0.5145631067961165,48.815640926361084
mlp,lemmatized_comment,0.5,False,True,False,False,0.5097087378640777,0.5097087378640777,45.340656042099
mlp,lemmatized_comment,0.5,False,False,True,False,0.5242718446601942,0.529126213592233,46.196260929107666
mlp,lemmatized_comment,0.5,False,False,False,False,0.5728155339805825,0.5728155339805825,51.96321892738342
mlp,lemmatized_comment,0.6,True,True,True,False,0.6213592233009708,0.6262135922330098,49.687597036361694
mlp,lemmatized_comment,0.6,True,True,False,False,0.5728155339805825,0.5728155339805825,53.18735432624817
mlp,lemmatized_comment,0.6,True,False,True,False,0.5728155339805825,0.5728155339805825,51.31231713294983
